stock_id,name,chip_trend_days,chip_concentration_threshold,chip_latest_date,chip_available_days,chip_concentration_pct,chip_concentration_pct_t0,chip_concentration_pct_t1,chip_concentration_pct_t2,chip_date_t0,chip_date_t1,chip_date_t2,chip_concentration_score,main_force_net,main_force_net_t0,main_force_net_t1,main_force_net_t2,main_force_score,broker_diff,broker_diff_t0,broker_diff_t1,broker_diff_t2,broker_diff_score,chip_signal_state,chip_signal_text,chips_updated_at,chips_status,chips_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
2382,廣達,3,15.0,2026-06-10,3,3.97,3.97,0.06,0.02,2026-06-10,2026-06-09,2026-06-08,0.0,3665098,3665098,-56844,23845,0.5,1,1,28,7,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:21:59,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:15
2383,台光電,3,15.0,2026-06-10,3,0.97,0.97,0.63,0.48,2026-06-10,2026-06-09,2026-06-08,0.0,54110,54110,30527,25586,1.0,-33,-33,-70,173,-0.5,bullish_distributed,主力連3買但買賣家數差偏正，可能偏分散,2026-06-10 10:21:59,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:14
2402,毅嘉,3,15.0,2026-06-10,3,5.47,5.47,1.57,0.79,2026-06-10,2026-06-09,2026-06-08,0.0,-609720,-609720,124020,96684,0.5,185,185,117,62,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:22:00,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:13
2404,漢唐,3,15.0,2026-06-10,3,1.02,1.02,0.31,4.13,2026-06-10,2026-06-09,2026-06-08,0.0,84701,84701,-27376,-378320,-0.5,-1,-1,-45,141,-0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:22:01,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:13
2449,京元電子,3,15.0,2026-06-10,3,4.89,4.89,3.51,6.57,2026-06-10,2026-06-09,2026-06-08,0.0,-3048228,-3048228,-1621922,-4884407,-1.0,39,39,32,18,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-10 10:22:01,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:18
2454,聯發科,3,15.0,2026-06-10,3,0.36,0.36,1.87,1.37,2026-06-10,2026-06-09,2026-06-08,0.0,-115452,-115452,574222,-432737,-0.5,12,12,-7,20,0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:22:05,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:23
2455,全新,3,15.0,2026-06-10,3,4.16,4.16,3.05,4.18,2026-06-10,2026-06-09,2026-06-08,0.0,-1223462,-1223462,120844,-141977,-0.5,123,123,-54,284,0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:22:13,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:25
2467,志聖,3,15.0,2026-06-10,3,0.65,0.65,4.19,2.25,2026-06-10,2026-06-09,2026-06-08,0.0,21534,21534,-155938,82009,0.5,193,193,149,93,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:22:13,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:25
2481,強茂,3,15.0,2026-06-10,3,2.97,2.97,0.05,5.08,2026-06-10,2026-06-09,2026-06-08,0.0,2181450,2181450,39475,-1830227,0.5,24,24,18,59,1.0,neutral,籌碼震盪，方向未定,2026-06-10 10:22:14,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:29
2486,一詮,3,15.0,2026-06-10,3,0.23,0.23,1.0,15.51,2026-06-10,2026-06-09,2026-06-08,-0.5,61055,61055,-184489,-2376253,-0.5,-4,-4,85,239,0.5,neutral,籌碼震盪，方向未定,2026-06-10 10:22:16,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,452,6000,5548,2026-06-10 10:22:29
