stock_id,name,eps_Y,eps_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_latest,per_60d_high,per_60d_low,pbr_latest,pbr_60d_high,pbr_60d_low,period_start,period_end,eps_Y_is_prev,eps_ttm_is_prev,gross_margin_is_prev,operating_margin_is_prev,net_margin_is_prev,per_latest_is_prev,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
2368,金像電,6.87,22.7,8.77,20.35,47.65,87.3,34.81,1.15,3.51,26.85,2.55,5.77,18.04,0.18,3.51,61.4,77.85,55.5,19.94,22.34,15.92,,,False,False,False,False,False,False,False,2026-06-08 18:35:47,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:35:50
2382,廣達,5.5,19.88,311.48,-8.37,44.48,94.38,4.78,-1.55,-3.14,2.85,-0.91,-2.22,2.63,-0.87,-1.43,18.93,20.97,14.58,6.99,7.75,4.88,,,False,False,False,False,False,False,False,2026-06-08 18:35:50,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:35:53
2383,台光電,14.9,46.55,15.62,12.17,53.22,114.63,29.42,0.84,-0.98,21.56,1.76,0.62,16.15,1.16,0.16,103.47,119.41,78.77,35.65,41.14,22.87,,,False,False,False,False,False,False,False,2026-06-08 18:35:53,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:35:56
2402,毅嘉,0.07,1.96,1.07,-0.5,28.53,13.58,12.82,-6.98,-4.91,2.87,-6.11,-4.75,0.73,-6.15,-6.45,32.56,35.95,22.78,2.75,3.23,2.32,,,False,False,False,False,False,False,False,2026-06-08 18:35:56,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:35:59
2404,漢唐,16.31,53.84,8.11,5.39,34.55,102.23,23.32,6.13,0.11,19.57,5.69,0.53,15.22,2.35,-2.28,20.63,23.51,18.59,14.57,16.61,9.18,,,False,False,False,False,False,False,False,2026-06-08 18:36:00,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:02
2449,京元電子,1.87,7.37,3.78,0.91,17.13,36.61,39.74,2.08,6.24,27.2,-1.01,6.39,22.43,-0.13,-36.79,39.15,45.93,30.08,6.48,8.58,6.23,,,False,False,False,False,False,False,False,2026-06-08 18:36:03,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:05
2454,聯發科,15.17,62.91,46.74,-26.07,-0.51,-4.14,46.3,0.17,-1.84,15.35,0.8,-4.25,16.34,0.98,-2.92,64.86,73.94,23.87,16.64,18.98,6.28,,,False,False,False,False,False,False,False,2026-06-08 18:36:05,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:08
2455,全新,1.06,3.17,0.32,0.69,4.24,46.51,38.09,0.82,-1.81,23.63,1.85,1.08,20.34,0.14,0.52,113.41,140.06,92.91,18.13,22.39,15.43,2026-05-27,2026-06-09,False,False,False,False,False,False,False,2026-06-08 18:36:08,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:11
2467,志聖,3.06,7.55,1.02,14.7,173.06,74.55,49.47,5.37,6.45,24.37,8.51,10.59,21.33,4.88,8.96,75.53,111.74,71.41,10.65,14.18,10.07,,,False,False,False,False,False,False,False,2026-06-08 18:36:11,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:14
2481,強茂,0.75,3.14,1.3,4.44,4.35,8.76,32.74,0.07,2.41,6.5,-1.31,-1.02,9.04,-3.11,-1.13,47.14,52.38,31.73,3.91,4.35,2.58,,,False,False,False,False,False,False,False,2026-06-08 18:36:15,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,2,6000,5998,2026-06-08 18:36:18
